type,openings,telephone,latitude,longitude
Waste Separation Bin,24 hours,N.A.,22.2778662,114.1358197
Waste Separation Bin,24 hours,N.A.,22.2715859,114.1439574
Waste Separation Bin,24 hours,N.A.,22.2778662,114.1358197
Waste Separation Bin,24 hours,N.A.,22.2494755,114.2131517
Waste Separation Bin,24 hours,N.A.,22.258126,114.197958
Waste Separation Bin,24 hours,N.A.,22.2743135,114.2013553
Waste Separation Bin,24 hours,N.A.,22.2743135,114.2013553
Waste Separation Bin,24 hours,N.A.,22.2743135,114.2013553
Waste Separation Bin,24 hours,N.A.,22.2620389,114.1789161
Waste Separation Bin,24 hours,N.A.,22.2584659,114.1626686
Waste Separation Bin,24 hours,N.A.,22.2590198,114.1539959
Waste Separation Bin,24 hours,N.A.,22.2621317,114.1717715
Waste Separation Bin,24 hours,N.A.,22.2666667,114.1833333
Waste Separation Bin,24 hours,N.A.,22.2494755,114.2131517
Waste Separation Bin,24 hours,N.A.,22.2573579,114.1994403
Waste Separation Bin,24 hours,N.A.,22.2494755,114.2131517
Waste Separation Bin,24 hours,N.A.,22.2812324,114.2115114
Waste Separation Bin,24 hours,N.A.,22.2685204,114.2159966
Waste Separation Bin,24 hours,N.A.,22.2685204,114.2159966
Waste Separation Bin,24 hours,N.A.,22.2685204,114.2159966
Waste Separation Bin,24 hours,N.A.,22.2685204,114.2159966
Waste Separation Bin,24 hours,N.A.,22.2685204,114.2159966
Waste Separation Bin,24 hours,N.A.,22.2685204,114.2159966
Waste Separation Bin,24 hours,N.A.,22.2685204,114.2159966
Waste Separation Bin,24 hours,N.A.,22.2685204,114.2159966
Waste Separation Bin,24 hours,N.A.,22.2534769,114.2467429
Waste Separation Bin,24 hours,N.A.,16.0950108,-22.8078335
Waste Separation Bin,24 hours,N.A.,22.2579269,114.2116972
Waste Separation Bin,24 hours,N.A.,22.2568086,114.2106211
Waste Separation Bin,24 hours,N.A.,22.2585349,114.2123014
Waste Separation Bin,24 hours,N.A.,22.2564059,114.2464797
Waste Separation Bin,24 hours,N.A.,22.2494755,114.2131517
Waste Separation Bin,24 hours,N.A.,22.2417317,114.2383388
Waste Separation Bin,24 hours,N.A.,22.2564887,114.1945981
Waste Separation Bin,24 hours,N.A.,22.2420844,114.2393754
Waste Separation Bin,24 hours,N.A.,22.2568086,114.2106211
Waste Separation Bin,24 hours,N.A.,22.2573579,114.1994403
Waste Separation Bin,24 hours,N.A.,22.2411184,114.2037157
Waste Separation Bin,24 hours,N.A.,22.2235972,114.2086227
Waste Separation Bin,24 hours,N.A.,22.2483068,114.1524398
Waste Separation Bin,24 hours,N.A.,22.2584659,114.1626686
Waste Separation Bin,24 hours,N.A.,22.2666667,114.1833333
Waste Separation Bin,24 hours,N.A.,22.253885,114.1618858
Waste Separation Bin,24 hours,N.A.,22.2667519,114.1428983
Waste Separation Bin,24 hours,N.A.,22.2653775,114.13745
Waste Separation Bin,24 hours,N.A.,22.3860011,114.1472591
Waste Separation Bin,24 hours,N.A.,22.3860011,114.1472591
Waste Separation Bin,24 hours,N.A.,22.4166667,114.15
Waste Separation Bin,24 hours,N.A.,22.3860011,114.1472591
Waste Separation Bin,24 hours,N.A.,22.4109425,114.1191853
Waste Separation Bin,24 hours,N.A.,22.3724253,114.1645035
Waste Separation Bin,24 hours,N.A.,22.3833333,114.15
Waste Separation Bin,24 hours,N.A.,41.2675142,-73.044987
Waste Separation Bin,24 hours,N.A.,41.2675142,-73.044987
Waste Separation Bin,24 hours,N.A.,22.3860011,114.1472591
Waste Separation Bin,24 hours,N.A.,22.3870033,114.1458193
Waste Separation Bin,24 hours,N.A.,22.3860011,114.1472591
Waste Separation Bin,24 hours,N.A.,22.3890793,114.1326085
Waste Separation Bin,24 hours,N.A.,22.258126,114.197958
Waste Separation Bin,24 hours,N.A.,22.3627452,114.3495823
Waste Separation Bin,24 hours,N.A.,22.3860011,114.1472591
Waste Separation Bin,24 hours,N.A.,22.3870033,114.1458193
Waste Separation Bin,24 hours,N.A.,22.367102,114.058809
Waste Separation Bin,24 hours,N.A.,22.367883,114.0497376
Waste Separation Bin,24 hours,N.A.,22.390505,114.06605
Waste Separation Bin,24 hours,N.A.,22.3641206,114.0227101
Waste Separation Bin,24 hours,N.A.,22.400131,114.1085304
Waste Separation Bin,24 hours,N.A.,22.400131,114.1085304
Waste Separation Bin,24 hours,N.A.,22.394452,114.062381
Waste Separation Bin,24 hours,N.A.,22.3627452,114.3495823
Waste Separation Bin,24 hours,N.A.,22.400131,114.1085304
Waste Separation Bin,24 hours,N.A.,22.3957535,114.0460303
Waste Separation Bin,24 hours,N.A.,22.381804,114.0441457
Waste Separation Bin,24 hours,N.A.,22.420457,114.0203572
Waste Separation Bin,24 hours,N.A.,22.3800691,114.0048785
Waste Separation Bin,24 hours,N.A.,22.4087165,113.9808597
Waste Separation Bin,24 hours,N.A.,22.367102,114.058809
Waste Separation Bin,24 hours,N.A.,22.3842445,114.0292614
Waste Separation Bin,24 hours,N.A.,22.408841,114.297798
Waste Separation Bin,24 hours,N.A.,22.3627452,114.3495823
Waste Separation Bin,24 hours,N.A.,22.394452,114.062381
Waste Separation Bin,24 hours,N.A.,22.4061852,114.0358381
Waste Separation Bin,24 hours,N.A.,22.405397,114.0742017
Waste Separation Bin,24 hours,N.A.,22.4465916,114.0933976
Waste Separation Bin,24 hours,N.A.,22.4465916,114.0933976
Waste Separation Bin,24 hours,N.A.,22.4465916,114.0933976
Waste Separation Bin,24 hours,N.A.,22.4465916,114.0933976
Waste Separation Bin,24 hours,N.A.,22.4465916,114.0933976
Waste Separation Bin,24 hours,N.A.,22.4465916,114.0933976
Waste Separation Bin,24 hours,N.A.,22.394452,114.062381
Waste Separation Bin,24 hours,N.A.,22.400131,114.1085304
Waste Separation Bin,24 hours,N.A.,22.4465916,114.0933976
Waste Separation Bin,24 hours,N.A.,22.4064241,114.075931
Waste Separation Bin,24 hours,N.A.,22.3860011,114.1472591
Waste Separation Bin,24 hours,N.A.,22.2363509,113.9510952
Waste Separation Bin,24 hours,N.A.,22.281619,113.8958
Waste Separation Bin,24 hours,N.A.,22.2389564,113.9893158
Waste Separation Bin,24 hours,N.A.,22.25658,113.984353
